,,,
,"ART DIRECTION (Traea):
Folk-myth silhouettes with grounded materials. Shape-first, value-first readability: bold, instantly readable silhouette; strong negative space; strict 3-value grouping (dark base mass, mid secondary mass, small light accent). Painterly but graphic edges: crisp silhouette breaks, soft interior transitions. Muted grounded palette (charcoal, pine, slate, bark brown, tarnished bronze, bone/ivory) with ONE restrained “spirit” accent glow limited to small areas only (≤10%), appearing as subtle vein-light in creases or small rune points. No neon, no heavy bloom. Materials must read as worn cloth/leather plus tarnished metal/wood/bone (at least two). Motifs: braided vine/rope bindings, leaf-cluster fans, spiral root curls, knotwork voids, tiny consistent rune points. Lighting: diffused dusk / overcast canopy, soft directional key, gentle rim only for separation, atmospheric haze.",,
,"FORMAT: card portrait, centered mid-to-full body, simple vignette/plate background, focal contrast at face/weapon core, no busy environment, strong silhouette readability. 7:4 Landscape",,
,"readable silhouette with strong value hierarchy, but allow soft multi-step gradients in wings/background; keep focal clarity at face","FACTION: Syli (Winter Ring) — Frigid Forest boundary of silent ice. Base palette: charcoal, cold slate, pine-black, bone/ivory. Spirit accent (≤10%): moon-violet or pale frost-cyan glow as faint vein-light in bark/cloth seams. Environment: still winter air, rime frost, soft falling snow dust, diffused overcast canopy, quiet haze. Motif emphasis: knotwork voids + leaf shapes reduced to bare twigs/needles + braided vine bindings like frozen cord.",
,"ART DIRECTION (Traea):
Folk-myth silhouettes with grounded materials. Shape-first, value-first readability: bold, instantly readable silhouette; strong negative space; readable silhouette with strong value hierarchy, but allow soft multi-step gradients in background; keep focal clarity at face. Painterly but graphic edges: crisp silhouette breaks, soft interior transitions. Muted grounded palette (charcoal, pine, slate, bark brown, tarnished bronze, bone/ivory) with ONE restrained “spirit” accent glow limited to small areas only (≤10%), appearing as subtle vein-light in creases or small rune points. No neon, no heavy bloom. Materials must read as worn cloth/leather plus tarnished metal/wood/bone (at least two). Motifs: braided vine/rope bindings, leaf-cluster fans, spiral root curls, knotwork voids, tiny consistent rune points. Lighting: diffused dusk / overcast canopy, soft directional key, gentle rim only for separation, atmospheric haze.","FACTION: Syli (Autumn Ring) — meditative decay and harvest stillness. Base palette: bark brown, umber, muted russet, deep moss, bone. Spirit accent (≤10%): ember-amber glow (soft, not fiery) in small rune points or sap-veins. Environment: dry leaves, low fog, dusk-gold filtered light, gentle atmospheric haze. Motif emphasis: leaf-cluster fans + braided vine/rope + spiral root curls.",
,"ART DIRECTION: Fantasy concept art, digital painting style with bold linework and painterly rendering. Semi-stylized proportions with exaggerated silhouettes. Strong rim lighting and backlighting with atmospheric haze and particle effects. Rich, saturated dominant color palette per scene. Full-body character framing with environmental context. Trading card game illustration quality. Detailed material textures with slight stylization. Dramatic depth-of-field with soft, glowing backgrounds.","FACTION: Syli (Summer Ring) — exuberant vitality under silver moon. Base palette: deep pine, muted verdant greens, warm bark, tarnished bronze. Spirit accent (≤10%): witch-teal or firefly-green as tiny bioluminescent motes around hands/eyes. Environment: humid night canopy, soft moonlight, drifting pollen/motes, lush but simplified. Motif emphasis: braided vines + leaf fans + subtle rune points like insects.",
,"FORMAT: Landscape orientation, 16:9 aspect ratio. Single character centered or slightly off-center as primary focal point. Full-body shot with feet visible and head clearance. Character occupies roughly 60-70% of vertical frame. Environmental background with 3-layer depth (foreground elements, character midground, atmospheric background). Composition framed to leave space for potential card border, title text, or UI overlay","FACTION: Syli (Spring Heartgrove) — renewal and hidden court. Base palette: bone/ivory bark, fresh muted greens, soft earth browns, tarnished bronze. Spirit accent (≤10%): bright-but-restrained sap-green or dawn-gold glow in vein-light. Environment: misted grove, gentle dawnlight through blossoms, minimal petals as silhouette framing only. Motif emphasis: spiral root curls + leaf fans + knotwork voids (courtly, clean).",
,,"FACTION: Seri (Duskfall) — the moment the forest “turns.” Base palette: charcoal, bruised plum, cold bark brown, dull steel. Spirit accent (≤10%): blood-rose or ember-amber pinpoints (predatory, restrained). Environment: last rim of sunset behind black trees, fog beginning, long shadows. Motif emphasis: hooked/razor leaf shapes, braided bindings like restraints, rune points like eyes in brush.",
,,"FACTION: Seri (True Night) — predation and concealment. Base palette: near-black pine, deep slate, muted indigo, tarnished iron. Spirit accent (≤10%): witch-teal or corpse-blue glow limited to eyes/runes/weapon edge. Environment: dense darkness with minimal moon, heavy haze, silhouettes dissolve at edges. Motif emphasis: knotwork voids + negative space “cloaking” shapes + sparse rune points.",
,,"FACTION: Seri (Witching Hour) — psychopomp threshold, spellwork peaks. Base palette: charcoal, deep violet-black, bone, dull silver. Spirit accent (≤10%): moon-violet (strongest of the set but still restrained), appearing as thin vein-light and sigil dots. Environment: cold mist, faint moon shafts, subtle spectral particles (no bloom). Motif emphasis: rune points + knotwork voids + spiral curls like smoke/spirits.",
,,"FACTION: Seri (Dawn’s Threshold) — the retreat, the edge of day. Base palette: slate, ash gray, cold bark, muted mauve. Spirit accent (≤10%): pale dawn-gold (thin, fading) on runes or dew-like highlights. Environment: fog lifting, first low light, wet leaves, subdued contrast but strong silhouette separation. Motif emphasis: braided bindings + leaf fans simplified + sharp silhouette breaks.",
